post_order,category,file_slug,id,slug,status,tt_caption,tt_hashtags,tt_scheduled_date,tt_url,tt_views,notes
1,brand-script,C126_brandscript-general,C126,brandscript-general,pending,"You want to stop worrying about money.

#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #brandscript",#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #brandscript,,,,6 slides
2,brand-script,C127_brandscript-freelance,C127,brandscript-freelance,pending,"You want to stop refreshing your bank.

#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #freelance",#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #freelance,,,,6 slides
3,brand-script,C128_brandscript-creator,C128,brandscript-creator,pending,"You want to stop dreading the famine between deals.

#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #creator",#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #creator,,,,6 slides
4,brand-script,C129_brandscript-gig,C129,brandscript-gig,pending,"You want to stop counting tomorrow's shifts.

#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #gig",#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #gig,,,,6 slides
5,brand-script,C130_brandscript-commission,C130,brandscript-commission,pending,"You want pay that stays flat between deals.

#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #commission",#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #commission,,,,6 slides
6,brand-script,C131_brandscript-business,C131,brandscript-business,pending,"You want to stop being your own last priority.

#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #business",#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #business,,,,6 slides
7,brand-script,C132_brandscript-you-freeze,C132,brandscript-you-freeze,pending,"You want to stop the freeze.

#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #brandscript",#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #brandscript,,,,6 slides
8,brand-script,C133_brandscript-not-your-fault,C133,brandscript-not-your-fault,pending,"You want to stop blaming yourself.

#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #brandscript",#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #brandscript,,,,6 slides
9,brand-script,C134_brandscript-break-the-loop,C134,brandscript-break-the-loop,pending,"You want to break the loop.

#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #brandscript",#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #brandscript,,,,6 slides
10,brand-script,C135_brandscript-stop-avoiding,C135,brandscript-stop-avoiding,pending,"You want to stop avoiding your money.

#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #brandscript",#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #brandscript,,,,6 slides
11,brand-script,C136_brandscript-pay-down-debt,C136,brandscript-pay-down-debt,pending,"You want to pay down debt.

#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #brandscript",#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #brandscript,,,,6 slides
12,identity,C111_identity-sunday-calm,C111,identity-sunday-calm,pending,"Sunday night. Used to be the dread.

#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #identity",#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #identity,,,,5 slides
13,scenario,C85_scenario-rent-due-friday,C85,scenario-rent-due-friday,pending,"Rent due Friday. Last check Tuesday.

#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #scenario",#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #scenario,,,,5 slides
14,persona,C70_persona-freelancers,C70,persona-freelancers,pending,"Freelance income doesn't follow a schedule.

#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #freelance",#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #freelance,,,,5 slides
15,feature,C75_feature-coach,C75,feature-coach,pending,"When the math feels personal.

#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #coach",#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #coach,,,,5 slides
