post_order,category,file_slug,id,slug,status,yt_title,yt_description,yt_tags,youtube_video_id,youtube_url,yt_published_date,notes
1,brand-script,C126_brandscript-general,C126,brandscript-general,pending,You want to stop worrying about money.,"You want to stop worrying about money.

Built for the way you actually get paid. Floor-First Budgeting for variable income.

Try Able free for 30 days: becomeable.app/get-able

#Shorts #Budgeting #VariableIncome #Freelancer #1099 #FloorFirst #InconsistentIncome #PersonalFinance #SelfEmployed #FreelanceTok","budgeting,variable income,inconsistent income,freelancer,self employed,floor first,able app,personal finance,1099,brandscript,glass-dark,general",,,,6 slides
2,brand-script,C127_brandscript-freelance,C127,brandscript-freelance,pending,You want to stop refreshing your bank.,"You want to stop refreshing your bank.

Built for the way you actually get paid. Floor-First Budgeting for variable income.

Try Able free for 30 days: becomeable.app/get-able

#Shorts #Budgeting #VariableIncome #Freelancer #1099 #FloorFirst #InconsistentIncome #PersonalFinance #SelfEmployed #FreelanceTok","budgeting,variable income,inconsistent income,freelancer,self employed,floor first,able app,personal finance,1099,freelance,white,brandscript",,,,6 slides
3,brand-script,C128_brandscript-creator,C128,brandscript-creator,pending,You want to stop dreading the famine between deals.,"You want to stop dreading the famine between deals.

Built for the way you actually get paid. Floor-First Budgeting for variable income.

Try Able free for 30 days: becomeable.app/get-able

#Shorts #Budgeting #VariableIncome #Freelancer #1099 #FloorFirst #InconsistentIncome #PersonalFinance #SelfEmployed #FreelanceTok","budgeting,variable income,inconsistent income,freelancer,self employed,floor first,able app,personal finance,1099,creator,glass,brandscript",,,,6 slides
4,brand-script,C129_brandscript-gig,C129,brandscript-gig,pending,You want to stop counting tomorrow's shifts.,"You want to stop counting tomorrow's shifts.

Built for the way you actually get paid. Floor-First Budgeting for variable income.

Try Able free for 30 days: becomeable.app/get-able

#Shorts #Budgeting #VariableIncome #Freelancer #1099 #FloorFirst #InconsistentIncome #PersonalFinance #SelfEmployed #FreelanceTok","budgeting,variable income,inconsistent income,freelancer,self employed,floor first,able app,personal finance,1099,gig,page,brandscript",,,,6 slides
5,brand-script,C130_brandscript-commission,C130,brandscript-commission,pending,You want pay that stays flat between deals.,"You want pay that stays flat between deals.

Built for the way you actually get paid. Floor-First Budgeting for variable income.

Try Able free for 30 days: becomeable.app/get-able

#Shorts #Budgeting #VariableIncome #Freelancer #1099 #FloorFirst #InconsistentIncome #PersonalFinance #SelfEmployed #FreelanceTok","budgeting,variable income,inconsistent income,freelancer,self employed,floor first,able app,personal finance,1099,commission,black,brandscript",,,,6 slides
6,brand-script,C131_brandscript-business,C131,brandscript-business,pending,You want to stop being your own last priority.,"You want to stop being your own last priority.

Built for the way you actually get paid. Floor-First Budgeting for variable income.

Try Able free for 30 days: becomeable.app/get-able

#Shorts #Budgeting #VariableIncome #Freelancer #1099 #FloorFirst #InconsistentIncome #PersonalFinance #SelfEmployed #FreelanceTok","budgeting,variable income,inconsistent income,freelancer,self employed,floor first,able app,personal finance,1099,business,green,brandscript",,,,6 slides
7,brand-script,C132_brandscript-you-freeze,C132,brandscript-you-freeze,pending,You want to stop the freeze.,"You want to stop the freeze.

Built for the way you actually get paid. Floor-First Budgeting for variable income.

Try Able free for 30 days: becomeable.app/get-able

#Shorts #Budgeting #VariableIncome #Freelancer #1099 #FloorFirst #InconsistentIncome #PersonalFinance #SelfEmployed #FreelanceTok","budgeting,variable income,inconsistent income,freelancer,self employed,floor first,able app,personal finance,1099,brandscript,black,freeze",,,,6 slides
8,brand-script,C133_brandscript-not-your-fault,C133,brandscript-not-your-fault,pending,You want to stop blaming yourself.,"You want to stop blaming yourself.

Built for the way you actually get paid. Floor-First Budgeting for variable income.

Try Able free for 30 days: becomeable.app/get-able

#Shorts #Budgeting #VariableIncome #Freelancer #1099 #FloorFirst #InconsistentIncome #PersonalFinance #SelfEmployed #FreelanceTok","budgeting,variable income,inconsistent income,freelancer,self employed,floor first,able app,personal finance,1099,brandscript,page,your,fault",,,,6 slides
9,brand-script,C134_brandscript-break-the-loop,C134,brandscript-break-the-loop,pending,You want to break the loop.,"You want to break the loop.

Built for the way you actually get paid. Floor-First Budgeting for variable income.

Try Able free for 30 days: becomeable.app/get-able

#Shorts #Budgeting #VariableIncome #Freelancer #1099 #FloorFirst #InconsistentIncome #PersonalFinance #SelfEmployed #FreelanceTok","budgeting,variable income,inconsistent income,freelancer,self employed,floor first,able app,personal finance,1099,brandscript,white,break,loop",,,,6 slides
10,brand-script,C135_brandscript-stop-avoiding,C135,brandscript-stop-avoiding,pending,You want to stop avoiding your money.,"You want to stop avoiding your money.

Built for the way you actually get paid. Floor-First Budgeting for variable income.

Try Able free for 30 days: becomeable.app/get-able

#Shorts #Budgeting #VariableIncome #Freelancer #1099 #FloorFirst #InconsistentIncome #PersonalFinance #SelfEmployed #FreelanceTok","budgeting,variable income,inconsistent income,freelancer,self employed,floor first,able app,personal finance,1099,brandscript,glass-dark,stop,avoiding",,,,6 slides
11,brand-script,C136_brandscript-pay-down-debt,C136,brandscript-pay-down-debt,pending,You want to pay down debt.,"You want to pay down debt.

Built for the way you actually get paid. Floor-First Budgeting for variable income.

Try Able free for 30 days: becomeable.app/get-able

#Shorts #Budgeting #VariableIncome #Freelancer #1099 #FloorFirst #InconsistentIncome #PersonalFinance #SelfEmployed #FreelanceTok","budgeting,variable income,inconsistent income,freelancer,self employed,floor first,able app,personal finance,1099,brandscript,green,down,debt",,,,6 slides
12,identity,C111_identity-sunday-calm,C111,identity-sunday-calm,pending,Sunday night. Used to be the dread.,"Sunday night. Used to be the dread.

Built for the way you actually get paid. Floor-First Budgeting for variable income.

Try Able free for 30 days: becomeable.app/get-able

#Shorts #Budgeting #VariableIncome #Freelancer #1099 #FloorFirst #InconsistentIncome #PersonalFinance #SelfEmployed #FreelanceTok","budgeting,variable income,inconsistent income,freelancer,self employed,floor first,able app,personal finance,1099,identity,glass-dark,sunday,calm",,,,5 slides
13,scenario,C85_scenario-rent-due-friday,C85,scenario-rent-due-friday,pending,Rent due Friday. Last check Tuesday.,"Rent due Friday. Last check Tuesday.

Built for the way you actually get paid. Floor-First Budgeting for variable income.

Try Able free for 30 days: becomeable.app/get-able

#Shorts #Budgeting #VariableIncome #Freelancer #1099 #FloorFirst #InconsistentIncome #PersonalFinance #SelfEmployed #FreelanceTok","budgeting,variable income,inconsistent income,freelancer,self employed,floor first,able app,personal finance,1099,scenario,black,rent,friday",,,,5 slides
14,persona,C70_persona-freelancers,C70,persona-freelancers,pending,Freelance income doesn't follow a schedule.,"Freelance income doesn't follow a schedule.

Built for the way you actually get paid. Floor-First Budgeting for variable income.

Try Able free for 30 days: becomeable.app/get-able

#Shorts #Budgeting #VariableIncome #Freelancer #1099 #FloorFirst #InconsistentIncome #PersonalFinance #SelfEmployed #FreelanceTok","budgeting,variable income,inconsistent income,freelancer,self employed,floor first,able app,personal finance,1099,freelance,white,persona,freelancers",,,,5 slides
