slug,page_url,page_title,page_type,cluster,priority,status,last_updated,notebook_url,source_materials,prompt_used,video_duration_target,video_duration_actual,youtube_video_id,youtube_url,yt_title,yt_description,yt_tags,yt_thumbnail_path,video_drive_id,yt_playlist,yt_chapters,embed_position,embed_status,schema_status,view_count_30d,clickthrough_30d,linkedin_post_text,linkedin_status,linkedin_scheduled_date,linkedin_url,linkedin_posted_date,notes
budgeting,/budgeting/,How to Budget With Inconsistent Income: The Complete Guide,pillar,budgeting,1,draft,,,(see docs/notebooklm-sources/),(see docs/notebooklm-youtube-spec.md),3-4 min,1:31,Y8-nTegVbs8,https://youtu.be/Y8-nTegVbs8,How to Budget With Inconsistent Income (Complete Guide) | Able,"Budgeting advice was built for steady paychecks. This is the complete guide to budgeting when your income is lumpy, unpredictable, and rarely on schedule.

From Able — the budgeting app built for inconsistent income.

🔗 Read the full article: https://becomeable.app/budgeting/?utm_source=youtube&utm_medium=video&utm_campaign=budgeting

⏱ Chapters
00:00 Intro
00:07 The Problem
00:23 Rule 1
00:36 Rule 2
00:51 Rule 3
01:02 Rule 4
01:14 Rule 5
01:24 Outro

📚 Floor-First Budgeting
Per-deposit allocation that pays your bills and taxes before any dollar gets to vote on dinner. Five rules:
1. Know your floor. Bills plus tax equal the amount you can't miss.
2. Every deposit fills the floor first.
3. Build your reserve before you spend.
4. One month ahead = Able.
5. Score reality, not the plan.

🎁 Try Able free for 30 days
https://becomeable.app?utm_source=youtube&utm_medium=video&utm_campaign=budgeting
$14.99/month or $129/year. Card required, no charge until day 31. Cancel anytime.

#FloorFirstBudgeting #VariableIncome #FreelanceMoney","Able, Able app, becomeable, Floor-First Budgeting, variable income, inconsistent income, budgeting for freelancers, 1099 budgeting, budgeting app, how to budget, freelance budget, self-employed budget",article-video/videos/budgeting/thumbnail.png,,Budgeting,"00:00 Intro
00:07 The Problem
00:23 Rule 1
00:36 Rule 2
00:51 Rule 3
01:02 Rule 4
01:14 Rule 5
01:24 Outro",top,pending,pending,,,,,,,,
business,/business/,How to Pay Yourself as a Business Owner With Variable Income,pillar,business,1,draft,,,(see docs/notebooklm-sources/),(see docs/notebooklm-youtube-spec.md),3-4 min,3:35,8oT6lEWZa1c,https://youtu.be/8oT6lEWZa1c,How to Pay Yourself as a Business Owner With Variable Income | Able,"Your business income is inconsistent. Your bills are not. Here is how to pay yourself a real paycheck from a business that pays you in unpredictable amounts.

From Able — the budgeting app built for inconsistent income.

🔗 Read the full article: https://becomeable.app/business/?utm_source=youtube&utm_medium=video&utm_campaign=business

⏱ Chapters
00:00 Intro
00:13 The Real Problem
00:35 The Real Question
01:01 The Structure
01:28 Your Number
01:57 The Rhythm
02:26 Raising Your Pay
03:00 What Changes
03:27 Outro

📚 Floor-First Budgeting
Per-deposit allocation that pays your bills and taxes before any dollar gets to vote on dinner. Five rules:
1. Know your floor. Bills plus tax equal the amount you can't miss.
2. Every deposit fills the floor first.
3. Build your reserve before you spend.
4. One month ahead = Able.
5. Score reality, not the plan.

🎁 Try Able free for 30 days
https://becomeable.app?utm_source=youtube&utm_medium=video&utm_campaign=business
$14.99/month or $129/year. Card required, no charge until day 31. Cancel anytime.

#FloorFirstBudgeting #VariableIncome #FreelanceMoney","Able, Able app, becomeable, Floor-First Budgeting, variable income, inconsistent income, budgeting for freelancers, 1099 budgeting, budgeting app, small business credit, emergency fund, business cash flow",article-video/videos/business/thumbnail.png,,Business,"00:00 Intro
00:13 The Real Problem
00:35 The Real Question
01:01 The Structure
01:28 Your Number
01:57 The Rhythm
02:26 Raising Your Pay
03:00 What Changes
03:27 Outro",top,pending,pending,,,,,,,,
learn-improve-your-credit-score,/learn/improve-your-credit-score/,How to Improve Your Credit Score,pillar,learn-credit,1,draft,,,(see docs/notebooklm-sources/),(see docs/notebooklm-youtube-spec.md),3-4 min,2:37,5YI83Et6Rfk,https://youtu.be/5YI83Et6Rfk,How to Improve Your Credit Score | Able Learn,"Everything you need to add 50-150 points to your score in 90 days. Understand the system, fix the damage, and build it back stronger.

From Able — the budgeting app built for inconsistent income.

🔗 Read the full article: https://becomeable.app/learn/improve-your-credit-score/?utm_source=youtube&utm_medium=video&utm_campaign=learn-credit

⏱ Chapters
00:00 Intro
00:09 Lesson 1
00:30 Lesson 2
00:53 Lesson 4
01:14 Lesson 5
01:36 Lesson 9
02:02 Lesson 10
02:30 Outro

📚 Floor-First Budgeting
Per-deposit allocation that pays your bills and taxes before any dollar gets to vote on dinner. Five rules:
1. Know your floor. Bills plus tax equal the amount you can't miss.
2. Every deposit fills the floor first.
3. Build your reserve before you spend.
4. One month ahead = Able.
5. Score reality, not the plan.

🎁 Try Able free for 30 days
https://becomeable.app?utm_source=youtube&utm_medium=video&utm_campaign=learn-credit
$14.99/month or $129/year. Card required, no charge until day 31. Cancel anytime.

#FloorFirstBudgeting #VariableIncome #FreelanceMoney","Able, Able app, becomeable, Floor-First Budgeting, variable income, inconsistent income, budgeting for freelancers, 1099 budgeting, budgeting app, credit score, improve credit, FICO score",article-video/videos/learn-improve-your-credit-score/thumbnail.png,,Learn — Improve Your Credit Score,"00:00 Intro
00:09 Lesson 1
00:30 Lesson 2
00:53 Lesson 4
01:14 Lesson 5
01:36 Lesson 9
02:02 Lesson 10
02:30 Outro",top,pending,pending,,,,,,,,
learn-get-out-of-debt,/learn/get-out-of-debt/,How to Get Out of Debt,pillar,learn-debt,1,draft,,,(see docs/notebooklm-sources/),(see docs/notebooklm-youtube-spec.md),3-4 min,2:27,VO6tNrHdfVU,https://youtu.be/VO6tNrHdfVU,How to Get Out of Debt | Able Learn,"A step-by-step plan for paying off debt when your income moves around. Built for entrepreneurs who need flexibility, not rigid rules.

From Able — the budgeting app built for inconsistent income.

🔗 Read the full article: https://becomeable.app/learn/get-out-of-debt/?utm_source=youtube&utm_medium=video&utm_campaign=learn-debt

⏱ Chapters
00:00 Intro
00:11 Lesson 1
00:30 Lesson 2
00:50 Lesson 3
01:08 Lesson 4
01:30 Lesson 5
01:55 Lessons 6 - 10
02:18 Outro

📚 Floor-First Budgeting
Per-deposit allocation that pays your bills and taxes before any dollar gets to vote on dinner. Five rules:
1. Know your floor. Bills plus tax equal the amount you can't miss.
2. Every deposit fills the floor first.
3. Build your reserve before you spend.
4. One month ahead = Able.
5. Score reality, not the plan.

🎁 Try Able free for 30 days
https://becomeable.app?utm_source=youtube&utm_medium=video&utm_campaign=learn-debt
$14.99/month or $129/year. Card required, no charge until day 31. Cancel anytime.

#FloorFirstBudgeting #VariableIncome #FreelanceMoney","Able, Able app, becomeable, Floor-First Budgeting, variable income, inconsistent income, budgeting for freelancers, 1099 budgeting, budgeting app, how to get out of debt, debt snowball, debt avalanche",article-video/videos/learn-get-out-of-debt/thumbnail.png,,Learn — Get Out of Debt,"00:00 Intro
00:11 Lesson 1
00:30 Lesson 2
00:50 Lesson 3
01:08 Lesson 4
01:30 Lesson 5
01:55 Lessons 6 - 10
02:18 Outro",top,pending,pending,,,,,,,,
learn-get-business-funding,/learn/get-business-funding/,How to Get Funding,pillar,learn-funding,1,draft,,,(see docs/notebooklm-sources/),(see docs/notebooklm-youtube-spec.md),3-4 min,3:05,bK52-NKAN_g,https://youtu.be/bK52-NKAN_g,How to Get Funding | Able Learn,"From personal credit to business credit to SBA loans. The real roadmap to getting approved for the capital your business needs.

From Able — the budgeting app built for inconsistent income.

🔗 Read the full article: https://becomeable.app/learn/get-business-funding/?utm_source=youtube&utm_medium=video&utm_campaign=learn-funding

⏱ Chapters
00:00 Intro
00:12 Lesson 1
00:37 Lesson 2
01:01 Lessons 3 - 5
01:29 Lessons 4 - 6
01:58 Lessons 7 - 8
02:28 Lesson 10
02:57 Outro

📚 Floor-First Budgeting
Per-deposit allocation that pays your bills and taxes before any dollar gets to vote on dinner. Five rules:
1. Know your floor. Bills plus tax equal the amount you can't miss.
2. Every deposit fills the floor first.
3. Build your reserve before you spend.
4. One month ahead = Able.
5. Score reality, not the plan.

🎁 Try Able free for 30 days
https://becomeable.app?utm_source=youtube&utm_medium=video&utm_campaign=learn-funding
$14.99/month or $129/year. Card required, no charge until day 31. Cancel anytime.

#FloorFirstBudgeting #VariableIncome #FreelanceMoney","Able, Able app, becomeable, Floor-First Budgeting, variable income, inconsistent income, budgeting for freelancers, 1099 budgeting, budgeting app, small business loan, SBA loan, business credit",article-video/videos/learn-get-business-funding/thumbnail.png,,Learn — Get Business Funding,"00:00 Intro
00:12 Lesson 1
00:37 Lesson 2
01:01 Lessons 3 - 5
01:29 Lessons 4 - 6
01:58 Lessons 7 - 8
02:28 Lesson 10
02:57 Outro",top,pending,pending,,,,,,,,
learn-how-money-works,/learn/how-money-works/,How Money Actually Works,pillar,learn-money,1,draft,,,(see docs/notebooklm-sources/),(see docs/notebooklm-youtube-spec.md),3-4 min,3:25,UlMgWbKCfLw,https://youtu.be/UlMgWbKCfLw,How Money Actually Works | Able Learn,"The core principles that quietly decide whether you end up wealthy or stuck. Time, compounding, cash flow, and protection explained in plain language.

From Able — the budgeting app built for inconsistent income.

🔗 Read the full article: https://becomeable.app/learn/how-money-works/?utm_source=youtube&utm_medium=video&utm_campaign=learn-money

⏱ Chapters
00:00 Intro
00:08 Lesson 1
00:28 Lesson 2
00:51 Lesson 3
01:21 Milestones 2 & 3
01:48 Milestones 4 & 5
02:13 Milestones 6 & 7
02:44 Put It To Work
03:18 Outro

📚 Floor-First Budgeting
Per-deposit allocation that pays your bills and taxes before any dollar gets to vote on dinner. Five rules:
1. Know your floor. Bills plus tax equal the amount you can't miss.
2. Every deposit fills the floor first.
3. Build your reserve before you spend.
4. One month ahead = Able.
5. Score reality, not the plan.

🎁 Try Able free for 30 days
https://becomeable.app?utm_source=youtube&utm_medium=video&utm_campaign=learn-money
$14.99/month or $129/year. Card required, no charge until day 31. Cancel anytime.

#FloorFirstBudgeting #VariableIncome #FreelanceMoney","Able, Able app, becomeable, Floor-First Budgeting, variable income, inconsistent income, budgeting for freelancers, 1099 budgeting, budgeting app, compound interest, rule of 72, money management",article-video/videos/learn-how-money-works/thumbnail.png,,Learn — How Money Works,"00:00 Intro
00:08 Lesson 1
00:28 Lesson 2
00:51 Lesson 3
01:21 Milestones 2 & 3
01:48 Milestones 4 & 5
02:13 Milestones 6 & 7
02:44 Put It To Work
03:18 Outro",top,pending,pending,,,,,,,,
learn-pay-yourself-first,/learn/pay-yourself-first/,Pay Yourself First,pillar,learn-payself,1,draft,,,(see docs/notebooklm-sources/),(see docs/notebooklm-youtube-spec.md),3-4 min,2:41,tYd3WLDsBpE,https://youtu.be/tYd3WLDsBpE,Pay Yourself First | Able Learn,"The one thing most entrepreneurs skip. Learn why it matters and the simplest way to start, even if you're deep in debt.

From Able — the budgeting app built for inconsistent income.

🔗 Read the full article: https://becomeable.app/learn/pay-yourself-first/?utm_source=youtube&utm_medium=video&utm_campaign=learn-payself

⏱ Chapters
00:00 Intro
00:07 The Skip
00:30 Why It Matters
00:51 The Real Obstacle
01:14 The Method
01:43 Even If You'Re In Debt
02:07 How Able Helps
02:33 Outro

📚 Floor-First Budgeting
Per-deposit allocation that pays your bills and taxes before any dollar gets to vote on dinner. Five rules:
1. Know your floor. Bills plus tax equal the amount you can't miss.
2. Every deposit fills the floor first.
3. Build your reserve before you spend.
4. One month ahead = Able.
5. Score reality, not the plan.

🎁 Try Able free for 30 days
https://becomeable.app?utm_source=youtube&utm_medium=video&utm_campaign=learn-payself
$14.99/month or $129/year. Card required, no charge until day 31. Cancel anytime.

#FloorFirstBudgeting #VariableIncome #FreelanceMoney","Able, Able app, becomeable, Floor-First Budgeting, variable income, inconsistent income, budgeting for freelancers, 1099 budgeting, budgeting app, pay yourself first, owner pay, owner draw",article-video/videos/learn-pay-yourself-first/thumbnail.png,,Learn — Pay Yourself First,"00:00 Intro
00:07 The Skip
00:30 Why It Matters
00:51 The Real Obstacle
01:14 The Method
01:43 Even If You'Re In Debt
02:07 How Able Helps
02:33 Outro",top,pending,pending,,,,,,,,
taxes,/taxes/,Quarterly Taxes for Self-Employed: The Complete Guide,pillar,taxes,1,draft,,,(see docs/notebooklm-sources/),(see docs/notebooklm-youtube-spec.md),3-4 min,3:25,APZCMXbdJpM,https://youtu.be/APZCMXbdJpM,Quarterly Taxes for Self-Employed (Complete Guide) | Able,"If you're self-employed, the IRS expects you to pay taxes four times a year. Here is what quarterly taxes are, how much to send, and how to stop dreading April.

From Able — the budgeting app built for inconsistent income.

🔗 Read the full article: https://becomeable.app/taxes/?utm_source=youtube&utm_medium=video&utm_campaign=taxes

⏱ Chapters
00:00 Intro
00:08 The Problem
00:31 The Basics
00:58 The Math
01:38 The Method
02:14 The Traps
02:50 The Shift
03:17 Outro

📚 Floor-First Budgeting
Per-deposit allocation that pays your bills and taxes before any dollar gets to vote on dinner. Five rules:
1. Know your floor. Bills plus tax equal the amount you can't miss.
2. Every deposit fills the floor first.
3. Build your reserve before you spend.
4. One month ahead = Able.
5. Score reality, not the plan.

🎁 Try Able free for 30 days
https://becomeable.app?utm_source=youtube&utm_medium=video&utm_campaign=taxes
$14.99/month or $129/year. Card required, no charge until day 31. Cancel anytime.

#FloorFirstBudgeting #VariableIncome #FreelanceMoney","Able, Able app, becomeable, Floor-First Budgeting, variable income, inconsistent income, budgeting for freelancers, 1099 budgeting, budgeting app, quarterly taxes, self-employment tax, 1099 taxes, tax deduction",article-video/videos/taxes/thumbnail.png,,Taxes,"00:00 Intro
00:08 The Problem
00:31 The Basics
00:58 The Math
01:38 The Method
02:14 The Traps
02:50 The Shift
03:17 Outro",top,pending,pending,,,,,,,,
budgeting-coach-consultant-budget,/budgeting/coach-consultant-budget/,"How to Budget as a Coach, Consultant, or Therapist in Private Practice",supporting,budgeting,2,draft,,,(see docs/notebooklm-sources/),(see docs/notebooklm-youtube-spec.md),3-4 min,3:51,thWItIDeYIo,https://youtu.be/thWItIDeYIo,"How to Budget as a Coach, Consultant, or Therapist | Able","Session income, package sales, referral gaps, and insurance delays. Here is how to budget when your paycheck depends on your calendar.

From Able — the budgeting app built for inconsistent income.

🔗 Read the full article: https://becomeable.app/budgeting/coach-consultant-budget/?utm_source=youtube&utm_medium=video&utm_campaign=budgeting

⏱ Chapters
00:00 Intro
00:09 The Problem
00:37 The Freeze
01:09 The Plan
01:51 The Setup
02:28 Watch For This
03:10 What Changes
03:43 Outro

📚 Floor-First Budgeting
Per-deposit allocation that pays your bills and taxes before any dollar gets to vote on dinner. Five rules:
1. Know your floor. Bills plus tax equal the amount you can't miss.
2. Every deposit fills the floor first.
3. Build your reserve before you spend.
4. One month ahead = Able.
5. Score reality, not the plan.

🎁 Try Able free for 30 days
https://becomeable.app?utm_source=youtube&utm_medium=video&utm_campaign=budgeting
$14.99/month or $129/year. Card required, no charge until day 31. Cancel anytime.

#FloorFirstBudgeting #VariableIncome #FreelanceMoney","Able, Able app, becomeable, Floor-First Budgeting, variable income, inconsistent income, budgeting for freelancers, 1099 budgeting, budgeting app, how to budget, freelance budget, self-employed budget",article-video/videos/budgeting-coach-consultant-budget/thumbnail.png,,Budgeting,"00:00 Intro
00:09 The Problem
00:37 The Freeze
01:09 The Plan
01:51 The Setup
02:28 Watch For This
03:10 What Changes
03:43 Outro",top,pending,pending,,,,,,,,
budgeting-commission-income-budget,/budgeting/commission-income-budget/,How to Budget on Commission Income (Without Living Commission to Commission),supporting,budgeting,2,draft,,,(see docs/notebooklm-sources/),(see docs/notebooklm-youtube-spec.md),3-4 min,3:52,P1KegcCBdtQ,https://youtu.be/P1KegcCBdtQ,How to Budget on Commission Income | Able,"Commission income means huge months, dry months, and constant pressure to close. Here is how to budget when your paycheck depends on what you sold last week.

From Able — the budgeting app built for inconsistent income.

🔗 Read the full article: https://becomeable.app/budgeting/commission-income-budget/?utm_source=youtube&utm_medium=video&utm_campaign=budgeting

⏱ Chapters
00:00 Intro
00:09 The Problem
00:36 The Trap
01:13 The Shift
01:46 The Setup
02:24 Rule 3
03:02 Watch Out
03:44 Outro

📚 Floor-First Budgeting
Per-deposit allocation that pays your bills and taxes before any dollar gets to vote on dinner. Five rules:
1. Know your floor. Bills plus tax equal the amount you can't miss.
2. Every deposit fills the floor first.
3. Build your reserve before you spend.
4. One month ahead = Able.
5. Score reality, not the plan.

🎁 Try Able free for 30 days
https://becomeable.app?utm_source=youtube&utm_medium=video&utm_campaign=budgeting
$14.99/month or $129/year. Card required, no charge until day 31. Cancel anytime.

#FloorFirstBudgeting #VariableIncome #FreelanceMoney","Able, Able app, becomeable, Floor-First Budgeting, variable income, inconsistent income, budgeting for freelancers, 1099 budgeting, budgeting app, how to budget, freelance budget, self-employed budget",article-video/videos/budgeting-commission-income-budget/thumbnail.png,,Budgeting,"00:00 Intro
00:09 The Problem
00:36 The Trap
01:13 The Shift
01:46 The Setup
02:24 Rule 3
03:02 Watch Out
03:44 Outro",top,pending,pending,,,,,,,,
